"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2006","288.44","300.70","300.72","286.51","","-4.06%"
"11/01/2006","300.66","284.87","301.62","282.78","","5.56%"
"10/01/2006","284.83","283.44","292.61","271.67","","0.53%"
"09/01/2006","283.32","303.90","304.06","275.34","","-6.76%"
"08/01/2006","303.86","321.73","327.68","299.73","","-5.54%"
"07/01/2006","321.68","317.28","328.77","310.00","","1.43%"
"06/01/2006","317.15","314.54","321.25","301.11","","0.84%"
"05/01/2006","314.50","317.81","332.34","307.25","","-1.01%"
"04/01/2006","317.69","301.56","325.75","300.26","","5.39%"
"03/01/2006","301.44","292.35","305.43","285.17","","3.12%"
"02/01/2006","292.32","313.17","315.23","287.79","","-6.65%"
"01/01/2006","313.13","297.01","314.59","296.64","","5.46%"
"12/01/2005","296.91","280.32","305.04","280.32","","5.93%"
"11/01/2005","280.29","281.20","285.84","277.24","","-0.31%"
"10/01/2005","281.17","295.14","296.12","280.60","","-4.71%"
"09/01/2005","295.06","291.09","297.97","278.82","","1.37%"
"08/01/2005","291.06","274.88","295.23","273.77","","5.92%"
"07/01/2005","274.81","263.58","276.69","263.18","","4.27%"
"06/01/2005","263.56","261.31","275.53","260.01","","2.97%"
"05/01/2005","255.96","260.11","260.11","248.17","","-1.30%"
"04/01/2005","259.34","277.17","277.17","259.02","","-5.95%"
"03/01/2005","275.74","263.98","282.21","263.98","","3.92%"
"02/01/2005","265.33","245.68","265.33","241.87","","6.95%"
"01/01/2005","248.08","237.45","251.08","237.13","","-0.71%"
"12/01/2004","249.85","246.45","249.85","233.85","","-1.15%"
"11/01/2004","252.76","247.59","254.89","245.41","","0.27%"
"10/01/2004","252.07","249.85","259.52","247.74","","1.13%"
"09/01/2004","249.25","238.01","249.25","230.79","","6.22%"
"08/01/2004","234.65","234.88","243.94","232.15","","-0.17%"
"07/01/2004","235.07","229.40","235.23","228.17","","4.21%"
"06/01/2004","225.56","243.72","243.72","223.79","","-5.04%"
"05/01/2004","237.52","231.12","238.11","230.08","","4.31%"
"04/01/2004","227.72","226.00","231.52","221.92","","-0.67%"
"03/01/2004","229.25","228.41","231.86","220.70","","1.74%"
"02/01/2004","225.34","211.94","225.34","209.04","","7.53%"
"01/01/2004","209.57","222.42","224.48","208.33","","2.60%"
"12/01/2003","204.25","195.90","223.17","195.90","","-5.64%"
"11/01/2003","216.46","188.94","216.49","188.94","","13.39%"
"10/01/2003","190.90","185.58","195.53","185.58","","3.04%"
"09/01/2003","185.27","182.96","185.58","178.14","","-1.37%"
"08/01/2003","187.84","183.93","187.93","181.75","","4.37%"
"07/01/2003","179.98","178.51","181.45","175.40","","1.30%"
"06/01/2003","177.67","180.28","182.33","174.76","","0.20%"
"05/01/2003","177.32","170.49","178.90","168.81","","4.44%"
"04/01/2003","169.79","171.19","176.74","167.95","","-2.01%"
"03/01/2003","173.26","184.87","189.13","168.49","","-7.90%"
"02/01/2003","188.12","177.42","188.70","177.42","","5.49%"
"01/01/2003","178.34","167.82","178.49","166.88","","8.45%"
"12/01/2002","164.44","156.36","168.35","154.77","","6.45%"
"11/01/2002","154.48","152.97","155.08","147.25","","0.89%"
"10/01/2002","153.12","155.20","157.26","151.23","","-0.66%"
"09/01/2002","154.15","147.15","154.96","147.15","","3.17%"
"08/01/2002","149.41","141.38","150.04","140.16","","4.69%"
"07/01/2002","142.72","142.95","145.76","140.26","","0.47%"
"06/01/2002","142.05","138.46","142.05","135.32","","2.21%"
"05/01/2002","138.98","137.51","142.96","135.90","","-0.35%"
"04/01/2002","139.46","141.77","143.82","131.67","","-0.19%"
"03/01/2002","139.73","128.29","139.73","128.29","","11.14%"
"02/01/2002","125.72","123.67","126.47","122.73","","3.61%"
"01/01/2002","121.34","125.58","128.37","119.97","","-1.45%"
"12/01/2001","123.13","126.35","127.42","120.72","","-2.43%"
"11/01/2001","126.19","123.91","128.65","121.03","","0.81%"
"10/01/2001","125.18","130.61","130.61","124.88","","-4.49%"
"09/01/2001","131.07","141.26","144.43","128.83","","-8.18%"
"08/01/2001","142.76","142.54","145.91","141.31","","-0.30%"
"07/01/2001","143.18","142.47","146.05","141.13","","-0.28%"
"06/01/2001","143.58","150.31","152.57","142.07","","-4.51%"
"05/01/2001","150.36","156.23","158.63","150.36","","-2.82%"
"04/01/2001","154.73","148.01","156.41","148.01","","3.82%"
"03/01/2001","149.04","157.14","160.15","149.04","","-4.93%"
"02/01/2001","156.77","161.29","164.16","156.77","","-0.68%"
"01/01/2001","157.84","155.04","163.14","155.04","","0.30%"
"12/01/2000","157.36","157.12","159.98","153.46","","-1.43%"
"11/01/2000","159.64","152.19","162.11","151.81","","5.37%"
"10/01/2000","151.50","154.20","162.19","151.10","","-0.55%"
"09/01/2000","152.34","154.26","158.96","151.36","","-0.83%"
"08/01/2000","153.62","140.86","153.63","140.86","","9.62%"
"07/01/2000","140.13","145.94","147.99","140.13","","-4.17%"
"06/01/2000","146.23","142.58","147.73","142.10","","3.63%"
"05/01/2000","141.10","131.74","144.22","131.74","","8.78%"
"04/01/2000","129.71","129.65","130.80","124.89","","-0.86%"
"03/01/2000","130.84","133.09","137.57","128.82","","0.66%"
"02/01/2000","129.98","126.86","129.98","125.85","","3.34%"
"01/01/2000","125.78","118.73","127.03","117.23","","5.41%"
"12/01/1999","119.33","116.18","120.52","116.18","","2.90%"
"11/01/1999","115.96","113.90","118.65","113.11","","3.28%"
